# Time;Static;Linear;Q-Aware
0:00:00;0;0;0
0:00:30;5;4;4
0:01:00;5;4;4
0:01:30;4;4;4
0:02:00;4;4;4
0:02:30;5;4;4
0:03:00;4;4;4
0:03:30;5;5;4
0:04:00;4;4;4
0:04:30;4;4;4
0:05:00;7;7;10
0:05:30;11;9;9
0:06:00;19;11;9
0:06:30;27;13;11
0:07:00;34;16;13
0:07:30;38;19;14
0:08:00;38;27;16
0:08:30;43;34;24
0:09:00;46;44;29
0:09:30;53;48;36
0:10:00;59;54;37
0:10:30;61;57;41
0:11:00;64;64;40
0:11:30;69;73;48
0:12:00;75;76;51
0:12:30;79;79;57
0:13:00;88;80;59
0:13:30;90;80;62
0:14:00;88;84;68
0:14:30;89;90;76
0:15:00;90;96;86
0:15:30;97;96;87
0:16:00;102;97;90
0:16:30;108;104;104
0:17:00;117;111;102
0:17:30;125;118;96
0:18:00;126;121;89
0:18:30;126;124;81
0:19:00;125;126;73
0:19:30;126;133;63
0:20:00;128;134;56
0:20:30;133;147;59
0:21:00;138;153;61
0:21:30;142;156;68
0:22:00;143;154;69
0:22:30;142;150;74
0:23:00;140;145;74
0:23:30;138;140;79
0:24:00;134;133;75
0:24:30;131;127;72
0:25:00;130;121;68
0:25:30;126;116;64
0:26:00;120;118;59
0:26:30;113;113;55
0:27:00;109;110;60
0:27:30;105;111;58
0:28:00;100;107;59
0:28:30;99;102;61
0:29:00;96;96;58
0:29:30;93;96;57
0:30:00;97;90;53
0:30:30;94;85;54
0:31:00;93;79;54
0:31:30;90;75;51
0:32:00;86;70;48
0:32:30;81;64;46
0:33:00;77;58;42
0:33:30;72;58;41
0:34:00;68;52;37
0:34:30;65;50;36
0:35:00;64;48;32
0:35:30;60;45;25
0:36:00;55;42;17
0:36:30;51;40;15
0:37:00;45;39;16
0:37:30;48;39;16
0:38:00;48;36;13
0:38:30;43;30;13
0:39:00;39;27;9
0:39:30;38;29;8
0:40:00;35;31;8
0:40:30;33;31;8
0:41:00;27;25;7
0:41:30;22;19;8
0:42:00;16;16;8
0:42:30;11;9;8
0:43:00;7;8;9
0:43:30;10;8;16
0:44:00;8;8;11
0:44:30;10;14;8
0:45:00;7;11;10
0:45:30;11;12;17
0:46:00;14;7;17
0:46:30;17;11;16
0:47:00;17;9;10
0:47:30;13;8;7
0:48:00;10;8;7
0:48:30;9;8;8
0:49:00;9;8;8
0:49:30;9;8;7
0:50:00;8;7;7
0:50:30;8;15;8
0:51:00;8;22;7
0:51:30;8;28;7
0:52:00;8;27;7
0:52:30;7;37;7
0:53:00;9;45;9
0:53:30;10;48;14
0:54:00;7;47;10
0:54:30;9;53;8
0:55:00;10;66;8
0:55:30;10;71;11
0:56:00;10;68;11
0:56:30;8;68;7
0:57:00;8;68;7
0:57:30;10;67;8
0:58:00;11;63;7
0:58:30;10;59;7
0:59:00;8;54;7
0:59:30;9;52;7
1:00:00;8;47;7